state,abbreviation
Acre,acre
Alagoas,alagoas
Amapá,amapa
Amazonas,amazonas
Bahia,bahia
Ceará,ceara
Distrito Federal,distrito-federal
Espírito Santo,espirito-santo
Goiás,goias
Maranhão,maranhao
Mato Grosso,mato-grosso
Mato Grosso do Sul,mato-grosso-do-sul
Minas Gerais,minas-gerais
Pará,para
Paraíba,paraiba
Paraná,parana
Pernambuco,pernambuco
Piauí,piaui
Rio de Janeiro,rio-de-janeiro
Rio Grande do Norte,rio-grande-do-norte
Rio Grande do Sul,rio-grande-do-sul
Rondônia,rondonia
Roraima,roraima
Santa Catarina,santa-catarina
São Paulo,sao-paulo
Sergipe,sergipe
Tocantins,tocantins
